id,property_name,city,state,zip,unit_count,broker,source,current_property_address,hellodata_status,street_address,confirmed,classic_units_remaining,market_cap_rate,regulatory_risk
3a7b796a-f0c2-47e0-9c6a-dd2161f36f42,Summit at Rivery Park,Georgetown,TX,,228,IPA,manual,1400 Rivery Boulevard,fetched,,,,,
1551abfb-be47-40dc-bcff-2527ebc3e7bf,Terrace 459,Chicago,IL,,106,W&D,manual,459 West Division Street,fetched,,,,,
89f4d2da-6acd-4c96-86e8-5872291d83e2,The Aviary at Middleton Market,Middleton,WI,,263,Berkadia,manual,"7628 Lisa Lane, Middleton, WI, 53562",pending,"7628 Lisa Lane, Middleton, WI, 53562",,,,
2d47ccdc-87e6-425f-8005-1d3752fc1e2c,The Chalet 1,Irving,TX,,250,Berkadia,manual,"3424 Country Club Drive West, Irving, TX, 75038",fetched,,,,,
2eefb976-5590-43ef-8b70-bdc1753a3122,The Fairways At Edinburgh,Brooklyn Park,MN,,198,,manual,"8617 Edinbrook Crossing, Brooklyn Park, MN, 55443",pending,"8617 Edinbrook Crossing, Brooklyn Park, MN, 55443",,,,
88cff788-9120-4ac7-bc3c-0a8dd54128b5,The Franklin at Samuels Ave,Fort Worth,TX,,370,IPA,manual,,pending,,,,,
5538bd84-b7d7-4cdb-8d85-6742710b92d9,The Gramercy New Albany,New Albany,OH,,322,Newmark,manual,,pending,,,,,
0baccda7-11ed-410c-992f-980f382e0fc2,The Grove,Raleigh,NC,,178,CW,manual,,pending,,,,,
88ee2515-98dc-4629-97aa-5c466238f372,The Grove At Schaumburg,Schaumburg,IL,,367,JLL,manual,"305 Cambia Drive, Schaumburg, IL, 60193",pending,"305 Cambia Drive, Schaumburg, IL, 60193",,,,
0cd5d83b-b4e2-4a48-87c6-0692068ed421,The Grove at Schaumburg Apartments,Schaumburg,IL,,367,JLL,manual,,pending,,,,,
dc3cbecf-a8b2-4b6f-8798-ac44f32aaa8c,The Haven at Highland,Lombard,IL,,144,Rosewood Realty,manual,"2001 South Highland Avenue, Lombard, IL, 60148",pending,"2001 South Highland Avenue, Lombard, IL, 60148",,,,
e45f3a1f-cced-4599-8024-2c2054235959,The Lawson House,Chicago,IL,,409,W&D,manual,"30 West Chicago Avenue, Chicago, IL, 60654",fetched,,,,,
998e3947-7c0e-439c-9bc3-01667106e220,The Townhomes at Highcrest,Woodridge,IL,,176,,manual,"3296 83rd Street, Woodridge, IL, 60517",pending,"3296 83rd Street, Woodridge, IL, 60517",,,,
bbd15bdc-b959-4540-b202-94d903f7d3fb,The View At Lakeside,Lewisville,TX,,360,W&D,manual,"901 Lakeside Circle, Lewisville, TX, 75057",pending,"901 Lakeside Circle, Lewisville, TX, 75057",,,,
8ea37ee7-01eb-4776-a14c-5b35f73f3695,Timberlinks At Denton,Denton,TX,,481,Berkadia,manual,,pending,,,,,
